ip,received,min,avg,max,mdev
152.19.160.1,60,0.711,0.836,0.965,0.058
152.19.253.53,60,0.725,3.485,54.447,8.792
152.19.253.90,60,1.150,1.410,1.705,0.137
152.19.255.65,60,1.337,1.561,1.867,0.121
128.109.19.89,60,4.817,5.182,5.546,0.168
198.86.53.237,60,14.273,14.965,18.037,0.853
108.170.246.34,60,11.528,11.764,12.579,0.190
108.170.246.34,60,11.485,11.736,12.330,0.151
108.170.240.98,0,0,0,0,0
108.170.246.34,60,11.528,11.764,12.579,0.190
108.170.246.34,60,11.485,11.736,12.330,0.151
142.251.49.21,0,0,0,0,0
142.251.49.75,0,0,0,0,0
142.251.49.160,0,0,0,0,0
142.250.236.137,0,0,0,0,0
142.251.49.211,0,0,0,0,0
142.251.49.171,0,0,0,0,0
216.239.56.111,0,0,0,0,0
216.239.59.27,0,0,0,0,0
216.239.56.73,0,0,0,0,0
216.239.40.130,0,0,0,0,0
216.239.40.138,0,0,0,0,0
209.85.243.47,0,0,0,0,0
108.170.230.95,0,0,0,0,0
108.170.231.165,0,0,0,0,0
108.170.231.137,0,0,0,0,0
216.239.56.21,0,0,0,0,0
64.233.185.190,60,16.839,17.003,18.494,0.209
